% sigmasweep (S/m)                                Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)
2.8840315031266055E-4                             -1.5472208185861145E-10-6.346342588556452E-7i     -3.027896068242203E-11-7.874920968965626E-7i      -1.1584430742796616E-11-8.414473519297127E-7i     -6.174903033819324E-12-8.658978602469026E-7i      -3.847326077171149E-12-8.799969045191651E-7i
3.019951720402016E-4                              -1.6201390038258457E-10-6.346342687472942E-7i     -3.170596397888743E-11-7.874920975405701E-7i      -1.2130388123740758E-11-8.414473520739427E-7i     -6.465917242744476E-12-8.658978603020718E-7i      -4.028644967003866E-12-8.799969045461172E-7i
3.1622776601683794E-4                             -1.6964937046011838E-10-6.34634279593323E-7i      -3.3200219845538435E-11-7.874920982466861E-7i     -1.270207568039444E-11-8.414473522320554E-7i      -6.770646527986752E-12-8.658978603625684E-7i      -4.218509152541536E-12-8.799969045756208E-7i
3.311311214825911E-4                              -1.776446877025246E-10-6.34634291485768E-7i       -3.476489779487399E-11-7.874920990209316E-7i      -1.3300706038147315E-11-8.414473524054452E-7i     -7.089737261074609E-12-8.658978604289207E-7i      -4.417321361117209E-12-8.79996904608086E-7i
3.467368504525317E-4                              -1.8601681096885344E-10-6.346343045255262E-7i     -3.640331671346718E-11-7.874920998699051E-7i      -1.392754897157692E-11-8.414473525955105E-7i      -7.423866276037858E-12-8.658978605016334E-7i      -4.6255033000230875E-12-8.799969046435201E-7i
3.630780547701014E-4                              -1.9478349833251987E-10-6.346343188233681E-7i     -3.811895190160208E-11-7.87492100800754E-7i       -1.4583934097835436E-11-8.414473528040019E-7i     -7.773742305140557E-12-8.658978605813748E-7i      -4.843496550969154E-12-8.799969046824993E-7i
3.8018939632056124E-4                             -2.0396334474280719E-10-6.346343345006169E-7i     -3.991544244470081E-11-7.874921018214299E-7i      -1.52712536969236E-11-8.414473530325434E-7i       -8.140107482092544E-12-8.658978606688253E-7i      -5.071763506791701E-12-8.799969047251807E-7i
3.9810717055349735E-4                             -2.1357582145953289E-10-6.346343516904063E-7i     -4.179659893227834E-11-7.87492102940618E-7i       -1.5990965664860947E-11-8.414473532831612E-7i     -8.523738916272714E-12-8.658978607647198E-7i      -5.3107883521868096E-12-8.799969047720011E-7i
4.168693834703355E-4                              -2.2364131734685215E-10-6.346343705386088E-7i     -4.3766411540494065E-11-7.874921041677091E-7i     -1.6744596606088724E-11-8.414473535579221E-7i     -8.925450341103685E-12-8.658978608698585E-7i      -5.5610780908030635E-12-8.799969048233072E-7i
4.365158322401661E-4                              -2.3418118211079917E-10-6.346343912052121E-7i     -4.5829058495703864E-11-7.874921055132297E-7i     -1.7533745071585923E-11-8.41447353859224E-7i      -9.346093840013961E-12-8.658978609851468E-7i      -5.82316362058767E-12-8.799969048795744E-7i
