% sigmasweep (S/m)                                Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)
0.009120108393559097                              -4.890072734597665E-9-6.34736599601663E-7i        -9.57455721099195E-10-7.874987649479954E-7i       -3.6632562594170213E-10-8.414488451343871E-7i     -1.952658842610388E-10-8.658984315520777E-7i      -1.2166248781874272E-10-8.799971834419005E-7i
0.009549925860214359                              -5.1202651931431565E-9-6.347464742048104E-7i      -1.0025742552794332E-9-7.874994088735143E-7i      -3.8358938984255727E-10-8.414489893374417E-7i     -2.0446831047163917E-10-8.658984867251997E-7i     -1.2739619897233216E-10-8.799972103786238E-7i
0.01                                              -5.3612664235924944E-9-6.347572996871074E-7i      -1.0498184251352774E-9-7.875001149157234E-7i      -4.0166667639320593E-10-8.414491474523874E-7i     -2.141044082750088E-10-8.658985472211853E-7i      -1.3340012194045357E-10-8.799972399141156E-7i
0.010471285480508996                              -5.61357994051581E-9-6.347691674236383E-7i        -1.0992882998655582E-9-7.875008890659018E-7i      -4.205958118865194E-10-8.414493208213243E-7i      -2.2419461222185587E-10-8.658986135536508E-7i     -1.3968698998189634E-10-8.799972722991295E-7i
0.01096478196143185                               -5.877732121068595E-9-6.347821775319593E-7i       -1.1510886486549553E-9-7.875017378929538E-7i      -4.404169268272597E-10-8.414495109156712E-7i      -2.3476031935633923E-10-8.658986862855809E-7i     -1.462701362423178E-10-8.799973078086009E-7i
0.01148153621496883                               -6.15427315523021E-9-6.347964397007063E-7i        -1.2053291597810608E-9-7.87502668599229E-7i       -4.611720406559946E-10-8.414497193490561E-7i      -2.4582393449357E-10-8.658987660343019E-7i        -1.531635219965371E-10-8.799973467438207E-7i
0.012022644346174132                              -6.443778022285954E-9-6.348120740954904E-7i       -1.2621246697131686E-9-7.875036890814756E-7i      -4.829051504243362E-10-8.414499478905696E-7i      -2.5740891762076716E-10-8.658988534769063E-7i     -1.603817662130518E-10-8.799973894353722E-7i
0.012589254117941675                              -6.746847492157246E-9-6.348292123483766E-7i       -1.32159540257934E-9-7.875048079977133E-7i        -5.056623235978483E-10-8.414501984798241E-7i      -2.695398335180813E-10-8.658989493554746E-7i      -1.6794017651170813E-10-8.799974362456322E-7i
0.013182567385564075                              -7.06410914968155E-9-6.348479986387719E-7i        -1.3838672204706436E-9-7.875060348404906E-7i      -5.294917951683683E-10-8.414504732438517E-7i      -2.8224240369716284E-10-8.658990544839259E-7i     -1.7585478156771236E-10-8.799974875720043E-7i
0.013803842646028852                              -7.396218439464648E-9-6.348685908734923E-7i       -1.449071885001987E-9-7.875073800174579E-7i       -5.544440692810081E-10-8.414507745145017E-7i      -2.95543560777196E-10-8.658991697545722E-7i       -1.8414236504267049E-10-8.799975438501689E-7i
0.01445439770745928                               -7.74385972838598E-9-6.348911619745643E-7i        -1.5173473305804687E-9-7.87508854939291E-7i       -5.805720255695719E-10-8.414511048486595E-7i      -3.0947150539510354E-10-8.658992961458979E-7i     -1.9282050110072375E-10-8.799976055577104E-7i
0.015135612484362087                              -8.107747382015483E-9-6.349159012841204E-7i       -1.5888379498549456E-9-7.875104721164805E-7i      -6.079310304106356E-10-8.414514670499206E-7i      -3.240557657773183E-10-8.658994347305872E-7i      -2.0190759159312452E-10-8.799976732186244E-7i
0.01584893192461114                               -8.488626850584327E-9-6.349430160960447E-7i       -1.6636948918077972E-9-7.875122452648975E-7i      -6.365790533263317E-10-8.414518641920916E-7i      -3.3932726008987033E-10-8.658995866849569E-7i     -2.1142290498317227E-10-8.799977474070544E-7i
0.016595869074375613                              -8.887275759140817E-9-6.349727333249922E-7i       -1.7420763729646728E-9-7.875141894220925E-7i      -6.665767887470016E-10-8.414522996454725E-7i      -3.553183616943939E-10-8.658997532988803E-7i      -2.2138661709295812E-10-8.799978287528451E-7i
0.017378008287493762                              -9.3045049955056E-9-6.350053013240553E-7i         -1.8241480022069124E-9-7.8751632107424E-7i        -6.979877833769969E-10-8.414527771054447E-7i      -3.720629674442578E-10-8.658999359864407E-7i      -2.3181985375691228E-10-8.799979179464359E-7i
0.018197008586099843                              -9.741159788524512E-9-6.350409918629123E-7i       -1.910083119673593E-9-7.875186582956203E-7i       -7.308785694118554E-10-8.414533006236E-7i         -3.8959656915489485E-10-8.659001362980641E-7i     -2.4274473547060743E-10-8.799980157449003E-7i
0.019054607179632484                              -1.0198120767691938E-8-6.350801022792116E-7i      -2.0000631502204465E-9-7.875212209011971E-7i      -7.653188038523032E-10-8.414538746423104E-7i      -4.079563283956297E-10-8.659003559340134E-7i      -2.5418442412179424E-10-8.799981229783946E-7i
0.01995262314968881                               -1.0676304993838248E-8-6.35122957816053E-7i       -2.094277971942466E-9-7.875240306140743E-7i       -8.013814141747306E-10-8.414545040322413E-7i      -4.271811547483843E-10-8.65900596758302E-7i       -2.6616317190768637E-10-8.799982405569905E-7i
0.020892961308540386                              -1.1176666948678379E-8-6.351699141600909E-7i      -2.1929263002035917E-9-7.87527111248856E-7i       -8.391427506375137E-10-8.414551941337386E-7i      -4.473117876935406E-10-8.659008608147896E-7i      -2.7870637252643595E-10-8.799983694788473E-7i
0.02187761623949552                               -1.1700199469307324E-8-6.352213601943286E-7i      -2.2962160876509513E-9-7.875304889123003E-7i      -8.786827454911214E-10-8.414559508019075E-7i      -4.683908822772024E-10-8.6590115034448E-7i        -2.918406147614239E-10-8.799985108380407E-7i
0.022908676527677724                              -1.2247934611420605E-8-6.352777209804664E-7i      -2.4043649406450225E-9-7.875341922238723E-7i      -9.200850793799947E-10-8.414567804562732E-7i      -4.904630987364722E-10-8.659014678044878E-7i      -3.0559373855122E-10-8.79998665834461E-7i
0.023988329190194897                              -1.282094442264441E-8-6.353394609868341E-7i       -2.5176005525301782E-9-7.875382525563572E-7i      -9.634373552301275E-10-8.414576901353581E-7i      -5.135751962446661E-10-8.659018158888825E-7i      -3.199948936687944E-10-8.799988357835855E-7i
0.025118864315095794                              -1.342034160480295E-8-6.354070875766644E-7i       -2.636161154114569E-9-7.875427043004182E-7i       -1.008831279925645E-9-8.414586875558801E-7i       -5.377761309708825E-10-8.659021975513891E-7i      -3.3507460112407246E-10-8.799990221277834E-7i
0.026302679918953815                              -1.4047280040772781E-8-6.354811547732724E-7i      -2.7602959817166644E-9-7.875475851536243E-7i      -1.0563628540711408E-9-8.414597811784467E-7i      -5.631171586283163E-10-8.659026160308676E-7i      -3.508648174092534E-10-8.799992264485714E-7i
0.02754228703338166                               -1.4702955158470618E-8-6.355622673170051E-7i      -2.8902657630447823E-9-7.875529364375087E-7i      -1.1061325701639408E-9-8.414609802788469E-7i      -5.896519417086339E-10-8.659030748782364E-7i      -3.673990017184284E-10-8.799994504800515E-7i
0.028840315031266057                              -1.538860410083606E-8-6.356510850292934E-7i       -3.0263432211517977E-9-7.875588034442349E-7i      -1.15824561948069E-9-8.414622950268164E-7i        -6.174366616028079E-10-8.659035779867724E-7i      -3.8471218626839743E-10-8.799996961234675E-7i
0.03019951720402016                               -1.6105505666797108E-8-6.357483274984107E-7i      -3.16881359660121E-9-7.875652358168858E-7i        -1.2128121080092765E-9-8.414637365718205E-7i      -6.465301358136562E-10-8.659041296252753E-7i      -4.02841049863988E-10-8.799999654634349E-7i
0.03162277660168379                               -1.6854979983872322E-8-6.358547790990652E-7i      -3.3179751878763735E-9-7.875722879650792E-7i      -1.2699472817333456E-9-8.414653171374423E-7i      -6.769939404683688E-10-8.659047344739384E-7i      -4.21823994840846E-10-8.800002607855446E-7i
0.03311311214825911                               -1.763838786868423E-8-6.359712943583632E-7i       -3.474139909982479E-9-7.875800195203057E-7i       -1.3297717616097884E-9-8.41467050124569E-7i       -7.088925383500116E-10-8.659053976641754E-7i      -4.4170122753829513E-10-8.80000584596011E-7i
0.034673685045253165                              -1.8457129826578325E-8-6.360988036759329E-7i      -3.6376338710141963E-9-7.875884958344697E-7i      -1.3924117885299547E-9-8.414689502246133E-7i      -7.422934126719818E-10-8.659061248220517E-7i      -4.625148424592489E-10-8.800009396424374E-7i
0.03630780547701014                               -1.9312644636641343E-8-6.362383194048618E-7i      -3.808797966331212E-9-7.87597788524647E-7i        -1.457999478606908E-9-8.414710335437955E-7i       -7.772672068144015E-10-8.659069221158995E-7i      -4.843089102574861E-10-8.800013289375002E-7i
0.038018939632056124                              -2.0206407462975394E-8-6.363909422952963E-7i      -3.987988489757448E-9-7.876079760698864E-7i       -1.5266730890712887E-9-8.414733177386221E-7i      -8.138878702769327E-10-8.659077963084705E-7i      -5.071295697358166E-10-8.800017557843132E-7i
0.039810717055349734                              -2.1139927427645987E-8-6.365578682979342E-7i      -4.1755777610229574E-9-7.876191444636724E-7i      -1.5985772950771922E-9-8.41475822165118E-7i       -8.522328110472445E-10-8.659087548141573E-7i      -5.310251240036783E-10-8.800022238044695E-7i
0.04168693834703355                               -2.211474457524132E-8-6.367403957193508E-7i       -4.371954768355906E-9-7.876313879271948E-7i       -1.6738634776837177E-9-8.414785680418562E-7i      -8.92383054653193E-10-8.65909805761787E-7i        -5.560461409762867E-10-8.800027369686278E-7i
0.04365158322401661                               -2.3132426153659498E-8-6.369399327132993E-7i      -4.577525824884682E-9-7.876448096894176E-7i       -1.7526900232798598E-9-8.414815786287655E-7i      -9.344234101262191E-10-8.659109580633574E-7i      -5.822455583828134E-10-8.800032996302456E-7i
0.04570881896148752                               -2.4194562130287708E-8-6.371580050853006E-7i      -4.79271523707896E-9-7.876595228395649E-7i        -1.8352226346700007E-9-8.414848794226565E-7i      -9.784426431186975E-10-8.659122214893775E-7i      -6.096787934814955E-10-8.800039165623916E-7i
0.04786300923226385                               -2.5302759858396444E-8-6.373962643767928E-7i      -5.0179659830729355E-9-7.876756512584112E-7i      -1.9216346539918094E-9-8.41488498371946E-7i       -1.024533656408106E-9-8.659136067512514E-7i       -6.384038576318867E-10-8.800045929980508E-7i
0.05011872336272725                               -2.6458637804007276E-8-6.376564961859237E-7i      -5.253740398216271E-9-7.876933306354073E-7i       -2.012107397647848E-9-8.414924661111536E-7i       -1.0727936780291887E-9-8.659151255918756E-7i      -6.684814759486588E-10-8.800053346747649E-7i
0.052480746024977286                              -2.766381824038172E-8-6.379406286686208E-7i       -5.500520864610832E-9-7.877127095793691E-7i       -2.10683050330517E-9-8.414968162181707E-7i        -1.123324457259352E-9-8.659167908848536E-7i       -6.999752122002601E-10-8.800061478826509E-7i
0.05495408738576248                               -2.8919918815442897E-8-6.382507411504256E-7i      -5.758810500785159E-9-7.87733950830387E-7i        -2.2060022890015265E-9-8.415015854958141E-7i      -1.1762324686829533E-9-8.659186167429114E-7i      -7.329515991510246E-10-8.800070395179954E-7i
0.05754399373371572                               -3.0228542896061827E-8-6.385890727644076E-7i      -6.0291338468553515E-9-7.877572325816656E-7i      -2.309830124334462E-9-8.415068142799177E-7i       -1.231629124538633E-9-8.659206186369949E-7i       -7.674802745397287E-10-8.800080171413826E-7i
0.06025595860743581                               -3.1591268594841686E-8-6.389580310143717E-7i      -6.312037539664859E-9-7.877827499209231E-7i       -2.418530813524377E-9-8.415125467764913E-7i       -1.289630995540461E-9-8.659228135265757E-7i       -8.03634122880823E-10-8.800090890416164E-7i
0.06309573444801936                               -3.300963638763606E-8-6.393602001446875E-7i       -6.608090971449812E-9-7.878107164005672E-7i       -2.5323309901813765E-9-8.415188314310962E-7i      -1.350360040366186E-9-8.659252200024634E-7i       -8.414894232810932E-10-8.800102643058949E-7i
0.06606934480075957                               -3.4485135235382595E-8-6.397983491805712E-7i      -6.917886924378991E-9-7.878413657477341E-7i       -2.65146752329252E-9-8.415257213327239E-7i        -1.413943843943833E-9-8.659278584432226E-7i       -8.811260034505174E-10-8.800115528961904E-7i
0.06918309709189363                               -3.601918713184892E-8-6.40275439482529E-7i        -7.2420421720741995E-9-7.87874953725204E-7i       -2.7761879340010538E-9-8.415332746552097E-7i      -1.480515864645725E-9-8.659307511865525E-7i       -9.226274000995454E-10-8.800129657335452E-7i
0.07244359600749899                               -3.761313000898855E-8-6.407946316411273E-7i       -7.581198037690278E-9-7.87911760154296E-7i        -2.906750822334667E-9-8.415415551408954E-7i       -1.550215690518062E-9-8.659339227165252E-7i       -9.660810258651285E-10-8.80014514790224E-7i
0.07585775750291836                               -3.926819894519272E-8-6.413592915178484E-7i       -7.93602089656395E-9-7.879520911132194E-7i        -3.043426303072488E-9-8.415506326287306E-7i       -1.6231893045155455E-9-8.659373998694618E-7i      -1.0115783429579189E-9-8.800162131905305E-7i
0.07943282347242814                               -4.098550563730989E-8-6.419729952201134E-7i       -8.307202609419706E-9-7.87996281322639E-7i        -3.1864964494937926E-9-8.415605836316805E-7i      -1.6995893587869212E-9-8.65941212058532E-7i       -1.0592150436658732E-9-8.800180753212913E-7i
0.08317637711026708                               -4.2766016116245543E-8-6.426395327799998E-7i      -8.695460870037607E-9-7.880446967325541E-7i       -3.3362557435778724E-9-8.415714919679443E-7i      -1.7795754578799278E-9-8.659453915197027E-7i      -1.1090912378088367E-9-8.800201169530103E-7i
0.08709635899560805                               -4.461052670629044E-8-6.433629102905458E-7i       -9.101539448895637E-9-7.880977373237321E-7i       -3.4930115308659556E-9-8.415834494502549E-7i      -1.8633144507155993E-9-8.659499735814734E-7i      -1.1613116473106122E-9-8.800223553724361E-7i
0.09120108393559097                               -4.651963825247936E-8-6.441473502361682E-7i       -9.526208311569288E-9-7.8815584013799E-7i         -3.6570844778391028E-9-8.415965566386306E-7i      -1.9509807310763737E-9-8.659549969597156E-7i      -1.2159858078968875E-9-8.800248095279705E-7i
0.09549925860214359                               -4.849372866431987E-8-6.449972897398223E-7i       -9.970263587575402E-9-7.882194825512212E-7i       -3.8288090291109154E-9-8.416109236621788E-7i      -2.042756546279522E-9-8.659605040796456E-7i       -1.273228278016805E-9-8.800275001884345E-7i
0.1                                               -5.053292385211187E-8-6.459173764350963E-7i       -1.0434527362052221E-8-7.882891858026923E-7i      -4.008533861448359E-9-8.416266711153153E-7i       -2.138832313432504E-9-8.659665414292505E-7i       -1.3331588549481936E-9-8.800304501172638E-7i
0.10471285480508996                               -5.263706716092275E-8-6.469124616560301E-7i       -1.0919847258777653E-8-7.883655187949759E-7i      -4.196622330794146E-9-8.416439310358715E-7i       -2.2394069427986145E-9-8.659731599444856E-7i      -1.3959027980681984E-9-8.800336842632323E-7i
0.1096478196143185                                -5.480568743904665E-8-6.479875906230753E-7i       -1.1427095778964927E-8-7.884491021759884E-7i      -4.39345290800376E-9-8.416628479703824E-7i        -2.344688167270584E-9-8.659804154313137E-7i       -1.4615910591557653E-9-8.80037229969036E-7i
0.1148153621496883                                -5.7037965913864756E-8-6.491479892857E-7i         -1.1957169355626846E-8-7.885406127151369E-7i      -4.599419598098741E-9-8.416835801347667E-7i       -2.45489287708188E-9-8.659883690265814E-7i        -1.5303605195655982E-9-8.800411171993687E-7i
0.12022644346174131                               -5.933270208891189E-8-6.503990474643506E-7i       -1.251098707820993E-8-7.886407879832267E-7i       -4.81493233707542E-9-8.417063006781435E-7i        -2.570247458387093E-9-8.659970877016097E-7i       -1.602354234005486E-9-8.800453787912463E-7i
0.12589254117941676                               -6.168827892663797E-8-6.517462979120594E-7i       -1.308948903680105E-8-7.887504313429644E-7i       -5.040417359220485E-9-8.417311990569959E-7i       -2.6909881342756657E-9-8.660066448121471E-7i      -1.67772168058536E-9-8.800500507266173E-7i
0.13182567385564073                               -6.410262764144767E-8-6.531953908955069E-7i       -1.3693634229291942E-8-7.88870417253961E-7i       -5.276317526791075E-9-8.417584825290079E-7i       -2.817361306280446E-9-8.6601712069907E-7i         -1.7566190166040138E-9-8.800551724318203E-7i
0.13803842646028852                               -6.657319250614629E-8-6.547520638734726E-7i       -1.4324397968491877E-8-7.890016968923684E-7i      -5.523092612617461E-9-8.417883777754891E-7i       -2.9496238942665804E-9-8.660286033434951E-7i      -1.8392093395635111E-9-8.800607871039179E-7i
0.1445439770745928                                -6.909689616918733E-8-6.564221058367494E-7i       -1.498276871966271E-8-7.891453040788057E-7i       -5.781219524809848E-9-8.418211326609034E-7i       -3.088043671962689E-9-8.660411890820006E-7i       -1.9256629525679936E-9-8.800669420681002E-7i
0.15135612484362088                               -7.16701060997731E-8-6.582113158697813E-7i        -1.5669744291641512E-8-7.89302361503182E-7i       -6.051192460865872E-9-8.418570181400868E-7i       -3.2328995951470415E-9-8.66054983385748E-7i       -2.0161576332443812E-9-8.800736891679824E-7i
0.15848931924611143                               -7.428860291902063E-8-6.601254555123547E-7i       -1.6386327298069518E-8-7.894740872257576E-7i      -6.3335229769403726E-9-8.418963303222831E-7i      -3.3844821187230484E-9-8.66070101709862E-7i       -2.1108789049939463E-9-8.800810851919003E-7i
0.16595869074375613                               -7.694755154066045E-8-6.621701945473286E-7i       -1.7133519797467053E-8-7.896618014237892E-7i      -6.628739955696688E-9-8.419393927021592E-7i       -3.5430934984542495E-9-8.660866704182866E-7i      -2.210020309190542E-9-8.800891923385435E-7i
0.17378008287493762                               -7.964147622901395E-8-6.643510499325099E-7i       -1.79123170144308E-8-7.898669333429785E-7i        -6.9373894539506895E-9-8.419865585676908E-7i      -3.7090480723371773E-9-8.661048277901979E-7i      -2.313783676733632E-9-8.80098078725287E-7i
0.18197008586099844                               -8.236424087326515E-8-6.666733177406752E-7i       -1.8723700037113344E-8-7.90091028396208E-7i       -7.260034408662987E-9-8.420382135941782E-7i       -3.882672515781275E-9-8.661247251138929E-7i       -2.422379396895295E-9-8.801078189423828E-7i
0.19054607179632482                               -8.510903596709386E-8-6.691419981825542E-7i       -1.9568627380888847E-8-7.903357553378221E-7i      -7.597254176941993E-9-8.420947786347201E-7i       -4.064306063793877E-9-8.661465278764007E-7i       -2.536026681149071E-9-8.801184946581035E-7i
0.19952623149688808                               -8.786837394509364E-8-6.717617140749037E-7i       -2.044802530309291E-8-7.906029134209366E-7i       -7.949643882634498E-9-8.421567127136324E-7i       -4.254300692461453E-9-8.661704170533741E-7i       -2.6549538192799346E-9-8.801301952772086E-7i
0.2089296130854041                                -9.063409464522825E-8-6.745366234737295E-7i       -2.1362776751165827E-8-7.908944394237313E-7i      -8.31781353829012E-9-8.422245162325734E-7i        -4.453021250599366E-9-8.661965905084803E-7i       -2.779398424402953E-9-8.801430186593192E-7i
0.21877616239495518                               -9.339738270668275E-8-6.774703276259196E-7i       -2.2313708825941483E-8-7.912124144048466E-7i      -8.702386907798942E-9-8.422987343928973E-7i       -4.660845531268755E-9-8.662252645089074E-7i       -2.909607663232108E-9-8.801570719001327E-7i
0.22908676527677724                               -9.614879865240164E-8-6.805657758772857E-7i       -2.330157864482463E-8-7.915590700202124E-7i       -9.104000070463647E-9-8.423799608398784E-7i       -4.878164271284897E-9-8.662566753643658E-7i       -3.0458384671063538E-9-8.801724721814036E-7i
0.239883291901949                                 -9.887832521472053E-8-6.838251696961399E-7i       -2.4327057496009764E-8-7.919367942000006E-7i      -9.523299642996957E-9-8.424688415285711E-7i       -5.105381065116094E-9-8.662910811977587E-7i       -3.188357718631116E-9-8.801893476949049E-7i
0.25118864315095796                               -1.015754301248059E-7-6.872498684861955E-7i       -2.5390713187439173E-8-7.923481359527233E-7i      -9.960940611158992E-9-8.425660788093699E-7i       -5.342912177681567E-9-8.663287638543603E-7i       -3.3374424080688437E-9-8.802078386454446E-7i
0.26302679918953814                               -1.0422914608812766E-7-6.908403003364668E-7i      -2.649299051176238E-8-7.927958090237254E-7i       -1.0417583717294253E-8-8.426724357270805E-7i      -5.591186238486266E-9-8.663700309572547E-7i       -3.4933797525594367E-9-8.802280983393673E-7i
0.2754228703338166                                -1.0682816801026707E-7-6.945958812315366E-7i      -2.7634189774566617E-8-7.93282694096274E-7i       -1.0893892345331094E-8-8.427887405202978E-7i      -5.8506437971030145E-9-8.664152181152398E-7i      -3.656467270263995E-9-8.802502943636875E-7i
0.28840315031266056                               -1.0936096674070264E-7-6.985149464797553E-7i      -2.8814443367877637E-8-7.9381183918543E-7i        -1.1390528838893802E-8-8.429158913034673E-7i      -6.121736717393786E-9-8.664646912899742E-7i       -3.8270128004816334E-9-8.802746098622752E-7i
0.3019951720402016                                -1.1181591769425204E-7-7.025946981517182E-7i      -3.003369041510401E-8-7.943864578324251E-7i       -1.1908150183109471E-8-8.430548609041331E-7i      -6.404927385192578E-9-8.665188493269165E-7i       -4.005334459216117E-9-8.803012449155081E-7i
0.31622776601683794                               -1.1418144174643759E-7-7.068311721236606E-7i      -3.1291649570171127E-8-7.950099246715512E-7i      -1.2447402975266866E-8-8.432067018200182E-7i      -6.700687700774972E-9-8.665781266536047E-7i       -4.191760518484301E-9-8.803304180288284E-7i
0.3311311214825911                                -1.1644615484260262E-7-7.112192278560346E-7i      -3.258779012175373E-8-7.956857679081828E-7i       -1.3008917604869235E-8-8.433725512476261E-7i      -7.009497824367109E-9-8.666429961478746E-7i       -4.386629195829211E-9-8.803623677364751E-7i
0.34673685045253166                               -1.1859902188964144E-7-7.157525633019346E-7i      -3.3921301635376E-8-7.964176582206715E-7i         -1.3593301559281958E-8-8.435536361214716E-7i      -7.3318446390257055E-9-8.667139721745889E-7i      -4.5902883387183675E-9-8.80397354326283E-7i
0.3630780547701014                                -1.206295097931591E-7-7.204237563453645E-7i       -3.529106246146238E-8-7.972093935851498E-7i       -1.4201131768152663E-8-8.437512780884253E-7i      -7.668219891612946E-9-8.667916137882998E-7i       -4.803094986541236E-9-8.804356616898513E-7i
0.38018939632056126                               -1.2252773404483865E-7-7.252243329586694E-7i      -3.6695607545129147E-8-7.980648795214675E-7i      -1.4832945898116257E-8-8.43966898321719E-7i       -8.019117968490262E-9-8.668765280936347E-7i       -5.025414790728057E-9-8.804775993037148E-7i
0.3981071705534973                                -1.2428459312122972E-7-7.301448609045226E-7i      -3.813309609337067E-8-7.98988104277961E-7i        -1.5489232509530567E-8-8.442020220605828E-7i      -8.385033258136084E-9-8.669693737527429E-7i       -5.257621270793312E-9-8.805235043439078E-7i
0.41686938347033553                               -1.2589188517867793E-7-7.351750663829237E-7i      -3.9601279783906213E-8-7.999831085169773E-7i      -1.6170419990158993E-8-8.44458282737843E-7i       -8.76645704914698E-9-8.67070864620888E-7i         -5.50009488202275E-9-8.805737439367406E-7i
0.4365158322401661                                -1.2734240214111998E-7-7.403039696412178E-7i      -4.109747233352227E-8-8.010539491319351E-7i       -1.6876864186600223E-8-8.447374255325465E-7i      -9.16387390723463E-9-8.671817734874101E-7i        -5.753221866947192E-9-8.806287175462314E-7i
0.4570881896148752                                -1.2862999727277433E-7-7.455200343408474E-7i      -4.261852137676076E-8-8.022046569322705E-7i       -1.760883466537121E-8-8.4504131015667E-7i         -9.577757471433796E-9-8.67302935888518E-7i        -6.017392860490581E-9-8.806888594956684E-7i
0.47863009232263853                               -1.29749623655829E-7-7.508113245184936E-7i        -4.416078373169979E-8-8.034391880705377E-7i       -1.8366499550664478E-8-8.453719126552856E-7i      -1.0008565605833423E-8-8.674352539506576E-7i      -6.2930012145801585E-9-8.807546416203033E-7i
0.5011872336272725                                -1.30697342583844E-7-7.561656623932135E-7i        -4.572010523834911E-8-8.047613692626868E-7i       -1.914990890799595E-8-8.457313259679844E-7i       -1.045673484001717E-8-8.675797002107733E-7i       -6.580441005542234E-9-8.808265760415047E-7i
0.5248074602497729                                -1.3147030261729168E-7-7.615707801249842E-7i      -4.729180643821026E-8-8.061748370669007E-7i       -1.995897667219631E-8-8.461217589677792E-7i       -1.0922674029859288E-8-8.677373213475567E-7i      -6.880104683382757E-9-8.809052180514968E-7i
0.5495408738576248                                -1.320666918045898E-7-7.670144589653082E-7i       -4.8870675408789244E-8-8.076829717330477E-7i      -2.0793461155823243E-8-8.465455336605659E-7i      -1.1406757168994423E-8-8.679092417418822E-7i      -7.192380319136762E-9-8.809911690913428E-7i
0.5754399373371573                                -1.3248566720517544E-7-7.724846500563035E-7i      -5.0450969062952355E-8-8.092888264124847E-7i      -2.1652944220703425E-8-8.470050802004584E-7i      -1.1909315282675531E-8-8.680966667690303E-7i      -7.517648402802338E-9-8.810850797979235E-7i
0.6025595860743581                                -1.3272726722708327E-7-7.779695723872844E-7i      -5.202642416057498E-8-8.109950528123735E-7i       -2.2536809254051995E-8-8.475029293488049E-7i      -1.2430627339112363E-8-8.683008857045253E-7i      -7.856278141413974E-9-8.811876530908308E-7i
0.6309573444801936                                -1.3279231328161337E-7-7.834577850176815E-7i      -5.359027914771648E-8-8.128038246784476E-7i       -2.3444218158186266E-8-8.480417019849331E-7i      -1.2970910119337304E-8-8.685232741053252E-7i      -8.208623203995403E-9-8.812996472583498E-7i
0.6606934480075964                                -1.3268230777957524E-7-7.88938232512958E-7i       -5.513530773457329E-8-8.147167607791101E-7i       -2.4374087643599984E-8-8.486240952678184E-7i      -1.3530306997089429E-8-8.687652955050969E-7i      -8.57501685824609E-9-8.814218789949753E-7i
0.6918309709189363                                -1.323993354826045E-7-7.944002644590775E-7i       -5.6653864842780156E-8-8.167348493210589E-7i      -2.532506520630659E-8-8.492528650476159E-7i       -1.4108875594032657E-8-8.690285022377411E-7i      -8.955766442414167E-9-8.815552263284803E-7i
0.7244359600749899                                -1.3194597467759962E-7-7.998336317756506E-7i      -5.813794520179252E-8-8.188583759316873E-7i       -2.6295505271651116E-8-8.499308041458664E-7i      -1.4706574296130602E-8-8.693145351768321E-7i      -9.351147116069454E-9-8.817006313638885E-7i
0.7585775750291835                                -1.3132522359710418E-7-8.052284641797074E-7i      -5.957925446498999E-8-8.210868574780742E-7i       -2.7283446095680488E-8-8.506607161617293E-7i      -1.532324764231806E-8-8.696251221543482E-7i       -9.761394835322421E-9-8.81859102754702E-7i
0.7943282347242814                                -1.305404460460663E-7-8.105752344247855E-7i       -6.096929226309142E-8-8.234189840335928E-7i       -2.8286588129972185E-8-8.514453845229764E-7i      -1.595861063077621E-8-8.699620747950073E-7i       -1.0186698502064415E-8-8.820317177963083E-7i
0.8317637711026709                                -1.2959533843516071E-7-8.158647157482519E-7i      -6.22994461407951E-8-8.258525712449847E-7i        -2.9302274668950737E-8-8.522875365942302E-7i      -1.661223202860355E-8-8.703272834804961E-7i       -1.0627191242833908E-8-8.822196240187318E-7i
0.8709635899560806                                -1.284939185117606E-7-8.210879392358576E-7i       -6.356109485983637E-8-8.283845251827032E-7i       -3.032747570769065E-8-8.531898027748834E-7i       -1.728351682208238E-8-8.707227101378557E-7i       -1.1082940784223781E-8-8.824240401346917E-7i
0.9120108393559097                                -1.2724053417904521E-7-8.262361575333954E-7i      -6.474571912669022E-8-8.310108214825759E-7i       -3.135877603290347E-8-8.541546706770849E-7i       -1.7971688003348672E-8-8.711503785330201E-7i      -1.155393890455014E-8-8.826462561792267E-7i
0.9549925860214359                                -1.258398890666338E-7-8.313008205324602E-7i       -6.584501744097272E-8-8.337265002156017E-7i       -3.239236864127553E-8-8.551844346637523E-7i       -1.86757679593433E-8-8.716123617446046E-7i        -1.2040089961222636E-8-8.82887632656385E-7i
1                                                 -1.2429708010257915E-7-8.362735674032766E-7i      -6.685102449277015E-8-8.365256774795758E-7i       -3.34240546208909E-8-8.562811412479245E-7i        -1.9394559807007012E-8-8.721107665000485E-7i      -1.2541198517828932E-8-8.831495984848169E-7i
1.0471285480509007                                -1.2261764135665782E-7-8.411462377581417E-7i      -6.775622936768763E-8-8.394015742118688E-7i       -3.4449250625888215E-8-8.574465311067227E-7i      -2.0126629105041128E-8-8.726477140772031E-7i      -1.3056956125797642E-8-8.834336475164447E-7i
1.096478196143185                                 -1.2080758795007476E-7-8.45910902947531E-7i       -6.855369076685984E-8-8.42346562213838E-7i        -3.546300502099332E-8-8.586819787309466E-7i       -2.0870286465211683E-8-8.732253175128721E-7i      -1.3586927353583196E-8-8.837413333833982E-7i
